 warn --- config file  - /opt/bambooagent/xml-data/temporary-repositories/maintenance/hybris/bin/modules/npm-ancillary/npmancillary/resources/npm/verdaccio/config_offline.yaml
 warn --- Verdaccio started
 warn --- http address - http://localhost:4873/ - verdaccio/4.12.0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular/-/angular-1.8.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-animate/-/angular-animate-1.8.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-cookies/-/angular-cookies-1.8.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-mocks/-/angular-mocks-1.8.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-route/-/angular-route-1.8.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-sanitize/-/angular-sanitize-1.8.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-translate/-/angular-translate-2.18.3.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-ui-bootstrap/-/angular-ui-bootstrap-2.5.6.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-ui-tree/-/angular-ui-tree-2.22.6.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /autoprefixer/-/autoprefixer-9.7.4.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /awesome-typescript-loader/-/awesome-typescript-loader-5.2.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /bootstrap/-/bootstrap-3.4.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /cache-loader/-/cache-loader-4.1.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /chakram/-/chakram-1.5.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /child_process/-/child_process-1.0.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /clean-css/-/clean-css-4.2.3.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /clean-npm-tmp/-/clean-npm-tmp-1.1.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /colors/-/colors-1.4.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /concurrently/-/concurrently-5.1.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /connect/-/connect-3.7.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /cors/-/cors-2.8.5.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /crypto-js/-/crypto-js-4.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /css-loader/-/css-loader-3.5.3.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /deep-diff/-/deep-diff-1.0.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eonasdan-bootstrap-datetimepicker/-/eonasdan-bootstrap-datetimepicker-4.17.47.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint/-/eslint-7.9.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-config-prettier/-/eslint-config-prettier-6.11.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-ban/-/eslint-plugin-ban-1.5.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-deprecation/-/eslint-plugin-deprecation-1.1.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-jsdoc/-/eslint-plugin-jsdoc-30.5.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-prefer-arrow/-/eslint-plugin-prefer-arrow-1.2.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-prettier/-/eslint-plugin-prettier-3.1.4.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /extract-loader/-/extract-loader-5.1.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fast-glob/-/fast-glob-3.2.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fetch-mock/-/fetch-mock-9.2.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /file-loader/-/file-loader-6.0.0.tgz', bytes: 0/0
